Date,Price,Signal,Context,Conviction,Regime,Stop_Loss,Take_Profit,Position_%,R:R,Zone,FVGs,Sweeps,Structure,SMT,Reasons,Smart_Money_Reasons,Warnings
2025-01-15,514.09,LEAN SELL,Fair Value Gap Entry,0.485,Uptrend,531.89,478.49,0.3500,2.0,equilibrium,2,0,0,0,Bearish: Price below Parabolic SAR | Bearish: OBV below its moving average | Bearish: Near R2 strong resistance (512),[FVG] Bullish Fair Value Gap formed (0.6x ATR) | [FVG ENTRY] Price filling into bearish FVG (gap: $514-$519),DISCIPLINE: Selling against uptrend
2025-01-16,510.49,LEAN SELL,Fair Value Gap Entry,0.411,Sideways / Choppy,527.89,475.7,0.3500,2.0,equilibrium,3,0,0,0,Bearish: Price below Parabolic SAR | Bearish: OBV below its moving average | Bullish: Near S1 support (510),[FVG] Bullish Fair Value Gap formed (0.3x ATR) | [FVG ENTRY] Price filling into bearish FVG (gap: $514-$519),
2025-01-17,519.11,LEAN SELL,Standard Technical Signal,0.234,Uptrend,536.83,483.68,0.3500,2.0,premium,4,0,0,0,Bullish: Price above Parabolic SAR | Bearish: OBV below its moving average | Bearish: Near R2 strong resistance (519),[P/D] Price in PREMIUM zone — favorable for shorts,DISCIPLINE: Selling against uptrend
2025-01-21,522.15,LEAN BUY,Breakout,0.455,Uptrend,504.86,556.73,0.3500,2.0,premium,3,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Fresh EMA 9/21 golden cross | Bullish: Price above Parabolic SAR | Bullish: MACD histogram crossed above zero | Bullish: MACD bullish crossover | Bearish: Stochastic overbought (89) | Bearish: OBV below its moving average | Bearish: OBV divergence (distribution) | Neutral Pattern: Doji | Bearish: Near R1 resistance (524),[P/D] Price in PREMIUM zone — favorable for shorts,
2025-01-22,528.83,LEAN BUY,Order Block Entry,0.48,Uptrend,511.49,563.51,0.3500,2.0,premium,3,0,1,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (60.4) | Bearish: Stochastic overbought (93) | Bullish: OBV above its moving average | Bullish Pattern: Morning Star | Bearish: Near R1 resistance (525),[FVG] Bullish Fair Value Gap formed (0.6x ATR) | [STRUCTURE] Bullish CHoCH — broke above $525.26 | [ORDER BLOCK] Testing bearish OB at $530-$535 (displacement: 2.6x ATR) | [P/D] Price in PREMIUM zone — favorable for shorts,
2025-01-23,529.95,LEAN BUY,Fair Value Gap Entry,0.459,Uptrend,513.24,563.38,0.3500,2.0,premium,4,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (61.1) | Bearish: Stochastic overbought (97) | Bullish: OBV above its moving average | Bearish: OBV divergence (distribution) | Bullish Pattern: Three White Soldiers | Bullish: Near S1 support (527) | Bearish: Near R1 resistance (531),[FVG ENTRY] Price filling into bullish FVG (gap: $521-$527) | [P/D] Price in PREMIUM zone — favorable for shorts,
2025-01-24,526.96,LEAN BUY,Fair Value Gap Entry,0.457,Uptrend,510.64,559.6,0.3500,2.0,premium,4,0,0,0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bearish: Stochastic overbought (88) | Bullish: OBV above its moving average | Bearish: OBV divergence (distribution) | Bullish: Near S1 support (527),[FVG ENTRY] Price filling into bullish FVG (gap: $521-$527) | [P/D] Price in PREMIUM zone — favorable for shorts,
2025-01-27,511.62,LEAN BUY,Fair Value Gap Entry,0.55,Sideways / Choppy,493.7,547.47,0.3500,2.0,equilibrium,4,0,0,0,Bullish: Price above Parabolic SAR | Bullish: Volume surge (1.8x avg) on up day | Bearish: OBV below its moving average,[FVG] Bearish Fair Value Gap formed (1.2x ATR) | [FVG ENTRY] Price filling into bullish FVG (gap: $503-$509) | [FVG ENTRY] Price filling into bullish FVG (gap: $508-$510),
2025-01-28,519.18,LEAN SELL,Fair Value Gap Entry,0.347,Uptrend,537.42,482.7,0.3500,2.0,premium,3,0,0,0,Bullish: Price above Parabolic SAR | Bullish: OBV above its moving average | Bearish: Near R1 resistance (515),[FVG] Bearish Fair Value Gap formed (0.6x ATR) | [FVG ENTRY] Price filling into bearish FVG (gap: $515-$526) | [P/D] Price in PREMIUM zone — favorable for shorts,DISCIPLINE: Selling against uptrend
2025-01-29,518.2,HOLD,Fair Value Gap Entry,0.184,Uptrend,502.65,544.11,0.0000,0.0,equilibrium,4,0,0,0,Bullish: Price above Parabolic SAR | Bearish: OBV below its moving average | Bullish Pattern: Hammer,[FVG ENTRY] Price filling into bearish FVG (gap: $515-$526),PATIENCE: Conviction 0.18 < 0.34
