Date,Price,Signal,Conviction,Regime,Stop_Loss,Take_Profit,Position_Size_%,Risk_Reward,Reasons,Warnings
2025-01-15,514.09,LEAN SELL,0.375,Uptrend,531.89,469.59,0.2500,2.5,Bearish: Price below Parabolic SAR | Bearish: OBV below its moving average | Bearish: Price near R2 strong resistance (512),DISCIPLINE: Selling against uptrend — reduced conviction
2025-01-16,510.49,HOLD,0.218,Sideways / Choppy,495.18,536.01,0.0000,0.0,Bearish: Price below Parabolic SAR | Bearish: OBV below its moving average | Bullish: Price near S1 support (510),PATIENCE: Conviction too low (0.22 < 0.6)
2025-01-17,519.11,HOLD,0.39,Uptrend,503.54,545.07,0.0000,0.0,Bullish: Price above Parabolic SAR | Bearish: OBV below its moving average | Bearish: Price near R2 strong resistance (519),PATIENCE: Conviction too low (0.39 < 0.6)
2025-01-21,522.15,HOLD,0.583,Uptrend,506.49,548.26,0.0000,0.0,Bullish: Price above EMA 9/21 stack | Bullish: Fresh EMA 9/21 golden cross | Bullish: Price above Parabolic SAR | Bullish: MACD histogram crossed above zero | Bullish: MACD bullish crossover | Bearish: Stochastic overbought (89) | Bearish: OBV below its moving average | Bearish: Price rising but OBV declining (distribution) | Neutral Pattern: Doji (indecision) | Bearish: Price near R1 resistance (524),PATIENCE: Conviction too low (0.58 < 0.6)
2025-01-22,528.83,HOLD,0.429,Uptrend,512.97,555.27,0.0000,0.0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (60.4) | Bearish: Stochastic overbought (93) | Bullish: OBV above its moving average | Bullish Pattern: Morning Star (strength: 0.8) | Bearish: Price near R1 resistance (525),PATIENCE: Conviction too low (0.43 < 0.6)
2025-01-23,529.95,HOLD,0.405,Uptrend,514.05,556.45,0.0000,0.0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (61.1) | Bearish: Stochastic overbought (97) | Bullish: OBV above its moving average | Bearish: Price rising but OBV declining (distribution) | Bullish Pattern: Three White Soldiers (strength: 0.8) | Bullish: Price near S1 support (527) | Bearish: Price near R1 resistance (531),PATIENCE: Conviction too low (0.41 < 0.6)
2025-01-24,526.96,HOLD,0.398,Uptrend,511.15,553.31,0.0000,0.0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bearish: Stochastic overbought (88) | Bullish: OBV above its moving average | Bearish: Price rising but OBV declining (distribution) | Bullish: Price near S1 support (527),PATIENCE: Conviction too low (0.40 < 0.6)
2025-01-27,511.62,HOLD,0.42,Sideways / Choppy,496.27,537.2,0.0000,0.0,Bullish: Price above Parabolic SAR | Bullish: Volume surge (1.8x avg) on up day | Bearish: OBV below its moving average,PATIENCE: Conviction too low (0.42 < 0.6)
2025-01-28,519.18,HOLD,0.218,Uptrend,503.6,545.14,0.0000,0.0,Bullish: Price above Parabolic SAR | Bullish: OBV above its moving average | Bearish: Price near R1 resistance (515),PATIENCE: Conviction too low (0.22 < 0.6)
2025-01-29,518.2,HOLD,0.39,Uptrend,502.65,544.11,0.0000,0.0,Bullish: Price above Parabolic SAR | Bearish: OBV below its moving average | Bullish Pattern: Hammer (strength: 0.7),PATIENCE: Conviction too low (0.39 < 0.6)
2025-01-30,520.41,HOLD,0.271,Uptrend,504.8,546.43,0.0000,0.0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bullish: OBV above its moving average | Bearish: Price rising but OBV declining (distribution) | Neutral Pattern: Doji (indecision) | Bearish: Price near R1 resistance (521),PATIENCE: Conviction too low (0.27 < 0.6)
2025-01-31,519.65,HOLD,0.309,Uptrend,504.06,545.63,0.0000,0.0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bearish: OBV below its moving average | Bearish: Price rising but OBV declining (distribution) | Bearish Pattern: Three Black Crows (strength: 0.8) | Bullish: Price near S1 support (516) | Bearish: Price near R1 resistance (524),PATIENCE: Conviction too low (0.31 < 0.6)
2025-02-03,515.5,SELL,0.743,Sideways / Choppy,533.63,470.16,0.2500,2.5,Bearish: Price below Parabolic SAR | Bearish: MACD histogram crossed below zero | Bearish: MACD bearish crossover | Bearish: OBV below its moving average | Bearish: Price rising but OBV declining (distribution) | Bullish: Price near S1 support (516),
2025-02-04,521.82,HOLD,0.434,Uptrend,506.17,547.91,0.0000,0.0,Bullish: Price above EMA 9/21 stack | Bearish: Price below Parabolic SAR | Bearish: OBV below its moving average | Bearish: Price rising but OBV declining (distribution) | Bearish: Price near R1 resistance (520),PATIENCE: Conviction too low (0.43 < 0.6)
2025-02-05,524.19,HOLD,0.482,Uptrend,508.46,550.4,0.0000,0.0,Bullish: Price above EMA 9/21 stack | Bearish: Price below Parabolic SAR | Bullish: MACD histogram crossed above zero | Bullish: MACD bullish crossover | Bearish: OBV below its moving average | Bearish: Price rising but OBV declining (distribution) | Bullish Pattern: Three White Soldiers (strength: 0.8) | Bearish: Price near R1 resistance (524),PATIENCE: Conviction too low (0.48 < 0.6)
2025-02-06,526.93,HOLD,0.186,Uptrend,511.12,553.28,0.0000,0.0,Bullish: Price above EMA 9/21 stack | Bearish: Price below Parabolic SAR | Bearish: Stochastic overbought (82) | Bullish: OBV above its moving average | Bearish: Price near R1 resistance (526),PATIENCE: Conviction too low (0.19 < 0.6)
2025-02-07,520.28,HOLD,0.532,Uptrend,504.67,546.29,0.0000,0.0,"Bullish: Price above Parabolic SAR | Bearish: RSI negative divergence (price up, RSI down) | Bearish: OBV below its moving average | Bearish: Price rising but OBV declining (distribution) | Bearish Pattern: Bearish Engulfing (strength: 0.8) | Bullish: Price near S1 support (524)",PATIENCE: Conviction too low (0.53 < 0.6)
2025-02-10,526.58,HOLD,0.188,Uptrend,510.78,552.91,0.0000,0.0,"Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bearish: RSI negative divergence (price up, RSI down) | Bearish: Stochastic overbought (81) | Bullish: OBV above its moving average | Bearish: Price near R1 resistance (527)",PATIENCE: Conviction too low (0.19 < 0.6)
2025-02-11,525.33,HOLD,0.355,Uptrend,509.57,551.6,0.0000,0.0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bearish: OBV below its moving average | Bullish: Price near S1 support (525) | Bearish: Price near R1 resistance (528),PATIENCE: Conviction too low (0.35 < 0.6)
2025-02-12,525.63,BUY,0.706,Uptrend,509.53,565.87,0.2500,2.5,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Bullish: OBV above its moving average | Bullish Pattern: Three White Soldiers (strength: 0.8) | Bullish: Price near S1 support (523) | Bearish: Price near R1 resistance (527),
2025-02-13,533.2,HOLD,0.367,Uptrend,517.2,559.86,0.0000,0.0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (60.5) | Bearish: Stochastic overbought (99) | Bullish: OBV above its moving average | Bullish Pattern: Three White Soldiers (strength: 0.8) | Bearish: Price near R2 strong resistance (531),PATIENCE: Conviction too low (0.37 < 0.6)
2025-02-14,535.43,HOLD,0.24,Uptrend,519.37,562.2,0.0000,0.0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (61.9) | Bearish: Stochastic overbought (98) | Bullish: OBV above its moving average | Bearish: Price at upper Bollinger Band (potential resistance) | Bullish: Walking the upper Bollinger Band (strong trend) | Bearish: Price near R1 resistance (536),PATIENCE: Conviction too low (0.24 < 0.6)
2025-02-18,536.65,HOLD,0.46,Uptrend,520.55,563.48,0.0000,0.0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (62.7) | Bearish: Stochastic overbought (98) | Bullish: OBV above its moving average | Bullish: Walking the upper Bollinger Band (strong trend) | Neutral Pattern: Doji (indecision) | Bullish: Price near S1 support (534) | Bearish: Price near R1 resistance (537),PATIENCE: Conviction too low (0.46 < 0.6)
2025-02-19,536.8,HOLD,0.46,Uptrend,520.7,563.64,0.0000,0.0,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (62.8) | Bearish: Stochastic overbought (96) | Bullish: OBV above its moving average | Bullish: Walking the upper Bollinger Band (strong trend) | Bullish: Price near S1 support (534) | Bearish: Price near R1 resistance (538),PATIENCE: Conviction too low (0.46 < 0.6)
2025-02-20,534.52,LEAN BUY,0.613,Uptrend,520.15,570.45,0.2500,2.5,Bullish: Price above EMA 9/21 stack | Bullish: Price above Parabolic SAR | Lean Bearish: RSI elevated (60.1) | Bearish: Stochastic overbought (88) | Bullish: OBV above its moving average | Bullish Pattern: Hammer (strength: 0.7) | Bullish: Price near S1 support (534),
2025-02-21,523.43,HOLD,0.194,Uptrend,507.73,549.6,0.0000,0.0,Bullish: Price above Parabolic SAR | Bearish: Volume surge (1.7x avg) on down day | Bullish: OBV above its moving average | Bearish Pattern: Evening Star (strength: 0.8) | Bullish: Price near S2 strong support (527),PATIENCE: Conviction too low (0.19 < 0.6)
2025-02-24,517.25,HOLD,0.643,Sideways / Choppy,501.73,543.11,0.0000,0.0,Bearish: Price below Parabolic SAR | Bearish: MACD histogram crossed below zero | Bearish: MACD bearish crossover | Bullish: Stochastic oversold (7) | Bearish: OBV below its moving average | Bearish Pattern: Three Black Crows (strength: 0.8) | Bullish: Price near S1 support (519),PATIENCE: Sideways market — waiting for clarity
2025-02-25,510.73,HOLD,0.387,Sideways / Choppy,495.41,536.27,0.0000,0.0,Bearish: Price below Parabolic SAR | Lean Bullish: RSI approaching oversold (39.4) | Bullish: Stochastic oversold (12) | Bearish: Volume surge (1.7x avg) on down day | Bearish: OBV below its moving average | Bearish Pattern: Three Black Crows (strength: 0.8) | Bullish: Price near S1 support (514),PATIENCE: Conviction too low (0.39 < 0.6)
