Date,Open,High,Low,Close,Volume
2024-03-28,510.78,512.15,510.36,510.64,96294900
2024-04-01,511.38,511.92,508.59,509.75,62477500
2024-04-02,505.93,506.65,504.21,506.51,74230300
2024-04-03,505.42,508.57,505.37,507.07,59155800
2024-04-04,511.08,511.42,500.58,500.88,96858100
2024-04-05,502.24,508.07,501.8,506.11,74546500
2024-04-08,506.82,507.82,505.59,506.4,48401800
2024-04-09,508.13,508.38,502.13,506.98,68049200
2024-04-10,501.28,503.9,499.92,501.91,82652800
2024-04-11,503.43,507.14,499.91,505.69,70099000
2024-04-12,502.15,503.56,496.98,498.71,92561100
2024-04-15,502.89,503.06,491.62,492.46,92101400
2024-04-16,492.94,494.47,490.28,491.57,73484000
2024-04-17,494.03,494.19,487.26,488.66,75910300
2024-04-18,490.05,492.15,486.71,487.65,74548100
2024-04-19,487.57,488.57,482.13,483.4,102212600
2024-04-22,486.0,490.44,483.66,487.85,67961000
2024-04-23,489.86,494.07,487.66,493.64,64633600
2024-04-24,494.52,495.32,491.18,493.4,55928100
2024-04-25,487.32,492.29,485.67,491.53,69122400
2024-04-26,494.32,497.77,493.69,496.18,64306100
2024-04-29,497.97,498.62,495.2,497.94,46415400
2024-04-30,496.48,497.45,490.05,490.05,77483600
2024-05-01,489.47,496.12,487.99,488.46,80242800
2024-05-02,492.17,493.87,487.68,493.03,62550200
2024-05-03,499.02,500.37,496.48,499.14,72756700
2024-05-06,501.54,504.34,501.1,504.3,47264700
2024-05-07,505.26,506.25,504.18,504.85,52561300
2024-05-08,503.02,505.44,502.9,504.9,42047200
2024-05-09,505.09,507.85,504.43,507.81,43643700
2024-05-10,509.41,510.22,507.25,508.47,52233200
2024-05-13,510.14,510.25,507.39,508.53,36716400
2024-05-14,508.73,511.38,508.19,510.87,57535900
2024-05-15,513.34,517.49,512.7,517.19,59504900
2024-05-16,517.29,518.89,515.98,516.13,50244800
2024-05-17,516.25,516.94,514.79,516.87,59187600
2024-05-20,516.99,518.93,516.6,517.47,37764200
2024-05-21,516.71,518.89,516.5,518.74,33437000
2024-05-22,518.04,518.76,515.06,517.24,48390000
